Chef~ Zipcode~ Number Of Stars~ Link 
Inaki Aizpitarte~ 75011~ 1 star~ https://restaurant.michelin.fr/2e6jtym/le-chateaubriand-paris-11 
Antonin Bonnet~ 75006~ 1 star~ https://restaurant.michelin.fr/a22cmkwd/quinsou-paris-06 
~ 35000~ 1 star~ https://restaurant.michelin.fr/3rs0bg1/racines-rennes 
Christophe Billau~ 06420~ 1 star~ https://restaurant.michelin.fr/3615836/auberge-quintessence-roubion 
Stéphane Carrade~ 33260~ 1 star~ https://restaurant.michelin.fr/2851256/le-skiff-club-la-teste-de-buch 
Guillaume Goupil~ 75001~ 1 star~ https://restaurant.michelin.fr/2fdc0eg/le-baudelaire-paris-01 
Cédric Deckert~ 67580~ 1 star~ https://restaurant.michelin.fr/3614676/la-merise-laubach 
Keisuke Yamagishi~ 75116~ 1 star~ https://restaurant.michelin.fr/3g8qf775/etude-paris-16 
Nicole Fagegaltier et Bruno Rouquier~ 12390~ 1 star~ https://restaurant.michelin.fr/28vap07/vieux-pont-belcastel 
Alexandre Soulier~ 64500~ 1 star~ https://restaurant.michelin.fr/szxhgy9t/locean-saint-jean-de-luz 
Lutz Janisch~ 57230~ 1 star~ https://restaurant.michelin.fr/28x69qn/le-strasbourg-bitche 
Baptiste Denieul~ 56380~ 1 star~ https://restaurant.michelin.fr/34milgg2/auberge-tiegezh-guer 
Glenn Viel~ 13520~ 2 stars~ https://restaurant.michelin.fr/28tn79w/loustau-de-baumaniere-les-baux-de-provence 
Philippe Zeiger~ 90400~ 1 star~ https://restaurant.michelin.fr/28vc6i9/le-pot-detain-danjoutin 
Nobuyuki Akishige~ 75011~ 1 star~ https://restaurant.michelin.fr/3547121/automne-paris-11 
Jean Chauvel~ 92100~ 1 star~ https://restaurant.michelin.fr/3614956/jean-chauvel-boulogne-billancourt 
Mathieu Viannay~ 69001~ 2 stars~ https://restaurant.michelin.fr/2et3r6g/mere-brazier-lyon 
Jérôme Banctel~ 75008~ 2 stars~ https://restaurant.michelin.fr/9sqrw32m/le-gabriel-paris-08 
Jérôme Brochot~ 71300~ 1 star~ https://restaurant.michelin.fr/29zgkr3/jerome-brochot-montceau-les-mines 
Benoit Dumas~ 75017~ 1 star~ https://restaurant.michelin.fr/2eo1t6h/agape-paris-17 
Pierre Bertranet~ 87800~ 1 star~ https://restaurant.michelin.fr/2awwemv/le-moulin-de-la-gorce-la-roche-labeille 
Yohann Chapuis~ 71700~ 1 star~ https://restaurant.michelin.fr/3uonmfw/greuze-tournus 
Patrice Vander~ 74500~ 1 star~ https://restaurant.michelin.fr/29gdnxp256n/les-fresques-evian-les-bains 
Christophe Hagnerelle~ 59910~ 1 star~ https://restaurant.michelin.fr/29rcoot/val-dauge-bondues 
Gaël Orieux~ 75007~ 1 star~ https://restaurant.michelin.fr/2dof8zp/auguste-paris-07 
Christophe Comes~ 66000~ 1 star~ https://restaurant.michelin.fr/2ajskia/la-galinette-perpignan 
Bernard Pacaud~ 75004~ 3 stars~ https://restaurant.michelin.fr/2a8d13e/lambroisie-paris-04 
Pierre-Louis Marin~ 66720~ 1 star~ https://restaurant.michelin.fr/2a02pjj/auberge-du-cellier-montner 
Sébastien Chambru~ 71960~ 1 star~ https://restaurant.michelin.fr/3fa7ojh3/lo-des-vignes-fuisse 
Chiho Kanzaki~ 75012~ 1 star~ https://restaurant.michelin.fr/3ez7apxd/virtus-paris-12 
Nicolas Nobis~ 53100~ 1 star~ https://restaurant.michelin.fr/2f77d7t/leveil-des-sens-mayenne 
Gérald Passedat~ 13610~ 1 star~ https://restaurant.michelin.fr/3068881/louison-le-puy-sainte-reparade 
Jean-Marc Boyer~ 11600~ 1 star~ https://restaurant.michelin.fr/29pxfvs/le-puits-du-tresor-lastours 
Yannick Alléno~ 75008~ 3 stars~ https://restaurant.michelin.fr/2ab5qlx/alleno-paris-au-pavillon-ledoyen-paris-08 
Jean-Georges Klein etPaul Stradner~ 67290~ 2 stars~ https://restaurant.michelin.fr/t645yf86/villa-rene-lalique-wingen-sur-moder 
Mickaël Gracieux~ 06000~ 1 star~ https://restaurant.michelin.fr/2epn29l/laromate-nice 
~ 51000~ 1 star~ https://restaurant.michelin.fr/294k5c0/jerome-feck-chalons-en-champagne 
Christian Sinicropi~ 06400~ 2 stars~ https://restaurant.michelin.fr/292bk5u/la-palme-dor-cannes 
Michele Fortunato ~ 75008~ 1 star~ https://restaurant.michelin.fr/2fdi6av208/il-carpaccio-paris-08 
Jimmy Coutel~ 83420~ 1 star~ https://restaurant.michelin.fr/2btuhm0/la-palmeraie-la-croix-valmer 
Jean-Claude Cahagnet~ 93600~ 1 star~ https://restaurant.michelin.fr/2aga7gz/auberge-des-saints-peres-aulnay-sous-bois 
Fréderic Claquin~ 29120~ 1 star~ https://restaurant.michelin.fr/2bi0j2j/les-trois-rochers-sainte-marine 
Guillaume Monjuré~ 38250~ 1 star~ https://restaurant.michelin.fr/2d2itah0/palegrie-correncon-en-vercors 
Jacky Ribault~ 75011~ 1 star~ https://restaurant.michelin.fr/jh83esx/qui-plume-la-lune-paris-11 
Michaël Arnoult~ 73170~ 2 stars~ https://restaurant.michelin.fr/2dd2ann/les-morainieres-jongieux 
Hélène Darroze~ 75006~ 1 star~ https://restaurant.michelin.fr/2a93ort/marsan-helene-darroze-paris-06 
Cyril Attrazic~ 48130~ 1 star~ https://restaurant.michelin.fr/28rd58x/cyril-attrazic-aumont-aubrac 
Lionel Levy~ 13002~ 1 star~ https://restaurant.michelin.fr/3f9eksg5n/alcyone-marseille-02 
NicolasDurif~ 17220~ 1 star~ https://restaurant.michelin.fr/hq8ezzf7/lhysope-la-jarrie 
Jean-Michel Bardet~ 24310~ 1 star~ https://restaurant.michelin.fr/2bk4rlv/le-moulin-de-labbaye-brantome-en-perigord 
Franck Quinton~ 61140~ 1 star~ https://restaurant.michelin.fr/2bfnmbt/le-manoir-du-lys-bagnoles-de-lorne-normandie 
David Delsart~ 69005~ 1 star~ https://restaurant.michelin.fr/29t2ib7/les-terrasses-de-lyon-lyon-05 
Julien Diaz~ 13006~ 1 star~ https://restaurant.michelin.fr/2852226/saisons-marseille-06 
Benjamin Collombat~ 83510~ 1 star~ https://restaurant.michelin.fr/xhr5bt96/le-jardin-de-benjamin-lorgues 
Alexandre Bourdas~ 14600~ 2 stars~ https://restaurant.michelin.fr/2e11xi8/saquana-honfleur 
Thierry Schwartz~ 67210~ 1 star~ https://restaurant.michelin.fr/2a619xs/thierry-schwartz-le-restaurant-obernai 
Julien Rocheteau~ 75017~ 1 star~ https://restaurant.michelin.fr/ygx47dyb/la-scene-theleme-paris-17 
Lionel Hénaff~ 29000~ 1 star~ https://restaurant.michelin.fr/suqhhtor/allium-quimper 
Christophe Bocquillon~ 21200~ 1 star~ https://restaurant.michelin.fr/28u6ql7/le-jardin-des-remparts-beaune 
Nicolas Adam~ 22190~ 1 star~ https://restaurant.michelin.fr/2arxchk/la-vieille-tour-plerin 
Thibaut Gamba~ 59000~ 1 star~ https://restaurant.michelin.fr/ua271jkd/la-table-lille 
Stéphane Derbord~ 21000~ 1 star~ https://restaurant.michelin.fr/29dkmez/stephane-derbord-dijon 
Frédéric Larquemin~ 78000~ 1 star~ https://restaurant.michelin.fr/2aiqpqd/gordon-ramsay-au-trianon-versailles 
Damien Fagette~ 24240~ 1 star~ https://restaurant.michelin.fr/28vws7k/la-tour-des-vents-monbazillac 
Yoann Conte~ 74290~ 2 stars~ https://restaurant.michelin.fr/2fcm39b/yoann-conte-veyrier-du-lac 
Nicolas Coutand~ 85470~ 1 star~ https://restaurant.michelin.fr/3ws5njk2/les-genets-brem-sur-mer 
Jean-Michel Carrette~ 71700~ 1 star~ https://restaurant.michelin.fr/2b44str/aux-terrasses-tournus 
Julien Bousseau~ 06140~ 1 star~ https://restaurant.michelin.fr/2evgb1v/clovis-tourrettes-sur-loup 
Jacques Decoret~ 03200~ 1 star~ https://restaurant.michelin.fr/2b7zqic/maison-decoret-vichy 
Takayuki Honjo~ 75007~ 1 star~ https://restaurant.michelin.fr/27ym5i25/es-paris-07 
Stephan Schneider~ 57200~ 1 star~ https://restaurant.michelin.fr/2ayc9n6/auberge-st-walfrid-sarreguemines 
Christophe Quéant~ 21200~ 1 star~ https://restaurant.michelin.fr/8zb6c2d4/le-carmin-beaune 
Frédéric Sandrini~ 57300~ 1 star~ https://restaurant.michelin.fr/2e9sbx2/quai-des-saveurs-hagondange 
Eric Vidal~ 24000~ 1 star~ https://restaurant.michelin.fr/2dwdwxo/lessentiel-perigueux 
Xavier Beaudiment~ 63830~ 2 stars~ https://restaurant.michelin.fr/2ev16nl/le-pre-xavier-beaudiment-durtol 
DavidBizet~ 75008~ 1 star~ https://restaurant.michelin.fr/2ab9sgk/le-taillevent-paris-08 
Philip Chronopoulos~ 75001~ 1 star~ https://restaurant.michelin.fr/2a7qx35/restaurant-du-palais-royal-paris-01 
André Taormina~ 38110~ 1 star~ https://restaurant.michelin.fr/2b416ek/ambroisie-saint-didier-de-la-tour 
Masafumi Hamano~ 71570~ 2 stars~ https://restaurant.michelin.fr/3ffziwd6/au-14-fevrier-platre-durand 
Florent Ladeyn~ 59299~ 1 star~ https://restaurant.michelin.fr/13ppe4f4/auberge-du-vert-mont-boeschepe 
Christian Morisset~ 06600~ 1 star~ https://restaurant.michelin.fr/2ejmich/le-figuier-de-st-esprit-antibes 
Benjamin Delpierre~ 62930~ 1 star~ https://restaurant.michelin.fr/2fa1zgi202/la-liegeoise-wimereux 
Alexandre Gauthier~ 62170~ 2 stars~ https://restaurant.michelin.fr/2a0ne3f/la-grenouillere-la-madelaine-sous-montreuil 
Jean-Yves Guého~ 44100~ 1 star~ https://restaurant.michelin.fr/2a32200/latlantide-1874-maison-gueho-nantes 
Jean-Louis Nomicos~ 75016~ 1 star~ https://restaurant.michelin.fr/2fdwgd3/nomicos-paris-16 
Sébastien Carmona Porto~ 75008~ 1 star~ https://restaurant.michelin.fr/3o59i9b/helen-paris-08 
David Gallienne~ 27620~ 1 star~ https://restaurant.michelin.fr/omm63qr/le-jardin-des-plumes-giverny 
Kei Kobayashi~ 75001~ 2 stars~ https://restaurant.michelin.fr/9tmwymw/kei-paris-01 
